x,y,z,yaw,velocity,change_flag
-0.4005,-0.0067,-2.004,-0.0149,10,0
0.6017,-0.0377,-2.001,-0.0149,10,0
1.6315,-0.0474,-2.001,-0.0147,10,0
2.6563,-0.0534,-2.0036,-0.0146,10,0
3.8072,-0.0703,-2.0027,-0.0146,10,0
4.8082,-0.0808,-1.9972,-0.0149,10,0
6.0155,-0.1039,-2.0088,-0.0144,10,0
7.1305,-0.1202,-1.9971,-0.0012,10,0
8.2726,-0.1014,-1.9986,0.0222,10,0
9.3765,-0.0399,-2.0028,0.0752,10,0
10.5429,0.0877,-2.0016,0.1244,10,0
11.6866,0.2653,-1.9995,0.173,10,0
12.686,0.4592,-1.9974,0.2208,10,0
13.7955,0.7633,-1.9948,0.2851,10,0
14.8735,1.1452,-1.9994,0.3476,10,0
15.8286,1.5241,-2.0049,0.3992,10,0
16.7416,1.97,-1.9963,0.465,10,0
17.6333,2.4802,-2.0003,0.5412,10,0
18.584,3.188,-1.9988,0.6375,10,0
19.3474,3.8683,-1.9923,0.7102,10,0
20.0938,4.5894,-1.9957,0.7778,10,0
20.7969,5.3734,-1.9951,0.8478,10,0
21.3913,6.2066,-1.9983,0.9296,10,0
21.9473,7.0849,-1.9952,1.0089,10,0
22.454,7.9818,-1.9889,1.0915,10,0
22.8766,8.9535,-1.9972,1.176,10,0
23.3575,10.1356,-1.9987,1.2992,10,0
23.6923,11.4066,-1.9985,1.342,10,0
23.9227,12.3805,-2.001,1.3431,10,0
24.2563,13.8006,-1.999,1.3442,10,0
24.5842,15.2466,-1.9924,1.3459,10,0
24.9285,16.6885,-1.9987,1.3535,10,0
25.2183,18.1353,-1.9971,1.3677,10,0
25.4979,19.5599,-1.9965,1.3827,10,0
25.78,20.9922,-2.0012,1.3976,10,0
26.0248,22.4313,-2.0028,1.4149,10,0
26.2169,23.8463,-1.9974,1.437,10,0
26.4106,25.2075,-1.9929,1.459,10,0
26.5264,26.5741,-1.9939,1.4842,10,0
26.637,27.99,-1.9955,1.5076,10,0
26.7247,29.3803,-1.994,1.5238,10,0
26.7979,30.7514,-1.9968,1.5323,10,0
26.874,32.1093,-1.9951,1.5375,10,0
26.9099,33.4719,-1.9955,1.5415,10,0
26.9286,34.8058,-1.994,1.5436,10,0
26.9738,36.1403,-1.9938,1.5452,10,0
26.9947,37.48,-1.9937,1.5459,10,0
27.0561,38.8215,-1.9925,1.5461,10,0
27.0757,40.1528,-1.9924,1.5469,10,0
27.0835,41.4541,-1.9953,1.5472,10,0
27.1437,42.7533,-1.9937,1.5486,10,0
27.172,44.0653,-1.9979,1.5484,10,0
27.1937,45.3796,-1.9966,1.5484,10,0
27.254,46.655,-1.9972,1.5487,10,0
27.2617,47.8766,-1.9974,1.5488,10,0
27.2783,49.1216,-2.0007,1.5486,10,0
27.3263,50.361,-1.9975,1.548,10,0
27.3453,51.5836,-1.9993,1.5486,10,0
27.3539,52.7871,-1.9973,1.5481,10,0
27.4148,54.0359,-2.0002,1.5493,10,0
27.4394,55.272,-2.003,1.5489,10,0
27.4622,56.5151,-2.0028,1.5484,10,0
27.5004,57.705,-2.0037,1.5483,10,0
27.519,58.9403,-2.0026,1.5483,10,0
27.5597,60.1468,-2.0028,1.5482,10,0
27.556,61.3517,-2.0055,1.5482,10,0
27.626,62.5718,-2.0053,1.5486,10,0
27.6119,63.7391,-2.0039,1.548,10,0
27.6288,64.974,-2.0064,1.5477,10,0
27.6754,66.1731,-2.0054,1.5482,10,0
27.717,67.3829,-2.0036,1.5481,10,0
27.7552,68.5957,-2.002,1.5485,10,0
27.7835,69.795,-2.027,1.5497,10,0
27.7903,70.9861,-2.0203,1.5488,10,0
27.8527,72.2314,-1.9599,1.5503,10,0
27.8613,73.4405,-1.9575,1.5508,10,0
27.8917,74.6637,-1.9933,1.5506,10,0
27.8903,75.8358,-2.0101,1.5507,10,0
27.9298,77.0939,-2.0013,1.5525,10,0
27.9419,78.3011,-2.0023,1.5519,10,0
27.9538,79.5088,-2.0024,1.5519,10,0
27.992,80.7076,-2.0001,1.552,10,0
28.019,81.9194,-2.002,1.5516,10,0
28.0575,83.1408,-2.0009,1.5519,10,0
28.0501,84.3326,-2.0018,1.5513,10,0
28.0908,85.5466,-2.0001,1.5512,10,0
28.1271,86.754,-2.0023,1.5513,10,0
28.1457,87.9615,-1.9995,1.5516,10,0
28.1857,89.1672,-2.0016,1.5516,10,0
28.2167,90.4009,-1.9995,1.5517,10,0
28.2414,91.6174,-2.0037,1.5515,10,0
28.254,92.8066,-2.0034,1.5517,10,0
28.2722,94.0176,-2.0021,1.5514,10,0
28.2948,95.2127,-2.0006,1.5514,10,0
28.3135,96.4159,-1.9998,1.5512,10,0
28.3352,97.6368,-2.0002,1.5514,10,0
28.372,98.8025,-2.0006,1.5715,10,0
28.3582,99.8555,-2.0002,1.619,10,0
28.2478,101.0714,-2.0019,1.6813,10,0
28.0858,102.2253,-2.005,1.7323,10,0
27.8518,103.4093,-2,1.7814,10,0
27.5639,104.5484,-2.0038,1.8271,10,0
27.2176,105.7105,-2.0001,1.8706,10,0
26.8163,106.8333,-2.0036,1.9133,10,0
26.3831,107.9683,-2.0035,1.956,10,0
25.8795,109.0551,-2.0024,2.0009,10,0
25.3222,110.1367,-2.0012,2.0458,10,0
24.7403,111.181,-1.9984,2.1,10,0
24.1063,112.1497,-1.9999,2.1539,10,0
23.4032,113.0687,-1.9994,2.2142,10,0
22.6405,113.9729,-1.9972,2.2749,10,0
21.8407,114.7967,-2.0039,2.3374,10,0
20.9634,115.6131,-2.0008,2.3969,10,0
20.0826,116.3365,-2.0009,2.458,10,0
19.1785,117.0483,-1.9493,2.5196,10,0
18.162,117.6755,-2.0041,2.5799,10,0
17.155,118.2214,-1.9981,2.6411,10,0
16.1362,118.7005,-1.9993,2.7308,10,0
15.1619,119.0491,-2.0044,2.8742,10,0
13.9466,119.2704,-2.0042,3.0309,10,0
12.6069,119.3606,-1.9992,3.1382,10,0
11.5544,119.3209,-1.9983,-3.0828,10,0
10.5155,119.2271,-1.9998,-3.021,10,0
9.4943,119.0508,-2.0016,-2.9529,10,0
8.4953,118.8089,-2.0023,-2.8825,10,0
7.5119,118.4942,-2.0035,-2.8227,10,0
6.5102,118.1534,-1.9867,-2.7737,10,0
5.4925,117.7597,-1.9939,-2.7595,10,0
4.3837,117.2761,-2.0062,-2.7532,10,0
3.4371,116.8878,-1.9924,-2.7291,10,0
2.4258,116.4391,-2.0003,-2.7056,10,0
1.4383,115.9532,-2.0027,-2.6735,10,0
0.4223,115.4704,-2.0078,-2.6635,10,0
-0.5089,114.9344,-2.0095,-2.6561,10,0
-1.4917,114.3887,-2.01,-2.6524,10,0
-2.4744,113.8915,-1.9996,-2.6495,10,0
-3.4765,113.3519,-1.9999,-2.6482,10,0
-4.4334,112.838,-2.002,-2.6467,10,0
-5.4388,112.2943,-2.0021,-2.6462,10,0
-6.3743,111.7768,-2.0036,-2.6457,10,0
-7.3558,111.2469,-2.0049,-2.6449,10,0
-8.3448,110.7223,-2.0036,-2.6451,10,0
-9.3276,110.1776,-2.0024,-2.6449,10,0
-10.3074,109.6619,-2.0022,-2.6448,10,0
-11.2661,109.1305,-2.0011,-2.6441,10,0
-12.2447,108.5961,-2.0011,-2.6443,10,0
-13.1771,108.079,-2.005,-2.6436,10,0
-14.1354,107.5593,-2.0039,-2.6443,10,0
-15.3001,106.9502,-2.0041,-2.6426,10,0
-16.341,106.3705,-2.0053,-2.6421,10,0
-17.3391,105.8173,-2.0046,-2.6427,10,0
-18.3393,105.2738,-2.0046,-2.6443,10,0
-19.373,104.733,-2.0036,-2.6555,10,0
-20.4227,104.1742,-2.0051,-2.6699,10,0
-21.4363,103.6707,-2.0064,-2.6831,10,0
-22.4428,103.1984,-2.0039,-2.6957,10,0
-23.4431,102.7204,-2.003,-2.7039,10,0
-24.5592,102.2042,-2.0048,-2.7104,10,0
-25.6551,101.6908,-2.0022,-2.7139,10,0
-26.7881,101.1838,-2.0041,-2.7167,10,0
-27.91,100.6642,-2.0027,-2.7181,10,0
-29.0817,100.1382,-2.0042,-2.7186,10,0
-30.1666,99.6453,-2.0024,-2.7196,10,0
-31.2929,99.1361,-2.0015,-2.7197,10,0
-32.4257,98.6221,-2.0006,-2.7195,10,0
-33.5457,98.116,-2.0032,-2.7203,10,0
-34.7057,97.618,-2.0009,-2.7208,10,0
-35.8336,97.1031,-2.0022,-2.7201,10,0
-36.9564,96.6175,-2.0034,-2.7203,10,0
-38.1084,96.0941,-2.0043,-2.7199,10,0
-39.2388,95.5978,-2.0053,-2.7201,10,0
-40.4021,95.0908,-2.0037,-2.7206,10,0
-41.4868,94.5725,-2.0015,-2.7203,10,0
-42.6171,94.0579,-2.0028,-2.7203,10,0
-43.7465,93.5499,-2.0023,-2.7196,10,0
-44.9018,93.053,-1.9989,-2.7202,10,0
-46.0149,92.5442,-1.9998,-2.7199,10,0
-47.1515,92.0268,-1.9989,-2.7199,10,0
-48.318,91.5262,-2.0016,-2.7201,10,0
-49.4146,91.018,-1.9999,-2.72,10,0
-50.5409,90.4946,-1.9988,-2.72,10,0
-51.6896,89.9827,-1.9975,-2.7206,10,0
-52.8071,89.4999,-2.0037,-2.7197,10,0
-53.9634,88.9966,-2.0019,-2.7181,10,0
-55.0581,88.4741,-2.0017,-2.7172,10,0
-56.2289,87.9443,-1.9977,-2.7172,10,0
-57.3538,87.4492,-2.0037,-2.7163,10,0
-58.4754,86.9223,-2.001,-2.7167,10,0
-59.6043,86.4217,-2.0028,-2.7169,10,0
-60.7636,85.9086,-2.0015,-2.7132,10,0
-61.9326,85.3737,-1.9966,-2.7034,10,0
-63.1119,84.8002,-1.9996,-2.6924,10,0
-64.2948,84.2201,-2.0017,-2.6734,10,0
-65.4568,83.604,-2.0007,-2.6348,10,0
-66.5684,82.9221,-1.998,-2.5938,10,0
-67.7063,82.1794,-1.9998,-2.554,10,0
-68.8253,81.3931,-1.9977,-2.522,10,0
-69.9245,80.5499,-1.9974,-2.483,10,0
-70.9609,79.6768,-1.995,-2.4403,10,0
-71.9939,78.7436,-1.991,-2.3923,10,0
-73.0253,77.7356,-1.9924,-2.3432,10,0
-73.9775,76.6709,-1.9934,-2.2924,10,0
-74.8851,75.5769,-1.9953,-2.2439,10,0
-75.7861,74.4323,-1.984,-2.1903,10,0
-76.5856,73.2089,-1.9854,-2.1401,10,0
-77.3274,71.9301,-2.0049,-2.0857,10,0
-78.0536,70.5999,-2.001,-2.0437,10,0
-78.5177,69.6684,-2.009,-2.0136,10,0
-78.946,68.6993,-2.0035,-1.9904,10,0
-79.372,67.7183,-2.0002,-1.9689,10,0
-79.783,66.722,-1.9929,-1.947,10,0
-80.1576,65.7236,-1.9941,-1.9272,10,0
-80.5019,64.7154,-1.9943,-1.9017,10,0
-80.826,63.6954,-1.9956,-1.8744,10,0
-81.1346,62.6813,-1.994,-1.8512,10,0
-81.4095,61.6495,-1.9923,-1.8302,10,0
-81.6573,60.5972,-1.9968,-1.8076,10,0
-81.9413,59.4928,-1.9959,-1.7887,10,0
-82.1807,58.3845,-1.993,-1.7767,10,0
-82.396,57.2321,-1.991,-1.764,10,0
-82.6188,56.1054,-1.9941,-1.7502,10,0
-82.81,54.989,-1.9954,-1.7369,10,0
-82.9916,53.8475,-1.9955,-1.7276,10,0
-83.1668,52.6876,-1.991,-1.7186,10,0
-83.3406,51.5653,-1.9935,-1.7118,10,0
-83.4834,50.4164,-1.9966,-1.7066,10,0
-83.6564,49.2806,-1.9945,-1.7026,10,0
-83.7955,48.1248,-1.9931,-1.6981,10,0
-83.9524,46.9758,-1.9952,-1.6928,10,0
-84.0954,45.8434,-1.9935,-1.6873,10,0
-84.2151,44.6858,-1.9927,-1.6807,10,0
-84.3168,43.5504,-1.9926,-1.6702,10,0
-84.4317,42.3861,-1.9918,-1.6561,10,0
-84.5349,41.2369,-1.9943,-1.6384,10,0
-84.5764,40.0738,-1.992,-1.6185,10,0
-84.6431,38.9213,-1.9944,-1.5985,10,0
-84.678,37.749,-1.9892,-1.5829,10,0
-84.6729,36.5855,-1.9916,-1.5721,10,0
-84.6582,35.4089,-1.9925,-1.5651,10,0
-84.6435,34.2269,-1.9926,-1.56,10,0
-84.6299,33.0523,-1.9925,-1.5568,10,0
-84.6238,31.876,-1.992,-1.5542,10,0
-84.6079,30.704,-1.9944,-1.5528,10,0
-84.5743,29.5236,-1.9897,-1.5513,10,0
-84.5472,28.3689,-1.9905,-1.5506,10,0
-84.5244,27.1816,-1.9905,-1.55,10,0
-84.5088,26.009,-1.9926,-1.5494,10,0
-84.4818,24.8246,-1.9945,-1.5486,10,0
-84.4539,23.6656,-1.9943,-1.5485,10,0
-84.4387,22.4928,-1.9878,-1.5482,10,0
-84.4115,21.3257,-1.993,-1.5478,10,0
-84.3737,20.1376,-1.9955,-1.5478,10,0
-84.3589,18.9796,-1.996,-1.5476,10,0
-84.3238,17.8011,-1.9893,-1.5475,10,0
-84.3109,16.6071,-1.9946,-1.5471,10,0
-84.271,15.4459,-1.9961,-1.5473,10,0
-84.2524,14.2648,-1.9938,-1.5474,10,0
-84.208,13.1021,-2.0426,-1.5472,10,0
-84.2113,11.9247,-1.9855,-1.5466,10,0
-84.1822,10.7396,-1.9929,-1.5462,10,0
-84.1298,9.5641,-1.9933,-1.5462,10,0
-84.0999,8.4099,-1.9909,-1.5458,10,0
-84.0845,7.2258,-1.9888,-1.5459,10,0
-84.0341,6.0396,-2.0025,-1.5455,10,0
-84.0124,4.8896,-2.0011,-1.5457,10,0
-83.9916,3.7056,-1.9973,-1.5454,10,0
-83.9656,2.5418,-1.9911,-1.5455,10,0
-83.9299,1.3586,-1.9947,-1.5456,10,0
-83.905,0.1814,-1.991,-1.5453,10,0
-83.8646,-1.003,-1.9913,-1.5455,10,0
-83.8374,-2.1517,-1.9895,-1.5456,10,0
-83.8198,-3.3365,-1.9944,-1.5453,10,0
-83.7893,-4.5059,-1.9929,-1.5453,10,0
-83.7456,-5.7106,-1.9965,-1.5456,10,0
-83.7209,-6.857,-1.9944,-1.5455,10,0
-83.6772,-8.0388,-1.9935,-1.5457,10,0
-83.6658,-9.1962,-1.9939,-1.5454,10,0
-83.6384,-10.3579,-1.995,-1.5454,10,0
-83.6137,-11.5307,-1.9989,-1.5454,10,0
-83.5775,-12.7092,-1.9971,-1.5454,10,0
-83.5454,-13.894,-1.9981,-1.5458,10,0
-83.5292,-15.0626,-2.0058,-1.5459,10,0
-83.4874,-16.2304,-2.0034,-1.546,10,0
-83.4688,-17.3938,-1.915,-1.5456,10,0
-83.4391,-18.5663,-2.0675,-1.546,10,0
-83.3979,-19.7489,-2.0512,-1.5459,10,0
-83.3895,-20.9301,-1.9783,-1.5453,10,0
-83.353,-22.1307,-2.0521,-1.545,10,0
-83.3308,-23.3037,-1.9966,-1.5446,10,0
-83.2989,-24.4602,-1.9957,-1.5445,10,0
-83.2597,-25.6201,-2.0064,-1.5442,10,0
-83.2288,-26.8247,-2.012,-1.5439,10,0
-83.2,-27.9316,-2.0085,-1.5437,10,0
-83.178,-29.1604,-2.0034,-1.5435,10,0
-83.1319,-30.2873,-1.9951,-1.5441,10,0
-83.1047,-31.4189,-2.0037,-1.5439,10,0
-83.0651,-32.6011,-2.0075,-1.5444,10,0
-83.049,-33.8497,-2.0046,-1.5437,10,0
-83.0105,-35.014,-2.003,-1.5441,10,0
-82.9791,-36.1825,-2.0038,-1.544,10,0
-82.9501,-37.3798,-2.0033,-1.5439,10,0
-82.9158,-38.5226,-2.0002,-1.5439,10,0
-82.8886,-39.6483,-2.0023,-1.5438,10,0
-82.8498,-40.8179,-2.0047,-1.5439,10,0
-82.815,-42.0244,-1.9994,-1.5439,10,0
-82.7879,-43.1857,-2.0005,-1.5438,10,0
-82.7563,-44.2815,-2.0038,-1.544,10,0
-82.7248,-45.4342,-2.0038,-1.544,10,0
-82.6965,-46.6402,-2.0069,-1.544,10,0
-82.6642,-47.8288,-2.0034,-1.5441,10,0
-82.631,-48.975,-2.0029,-1.5442,10,0
-82.6004,-50.1123,-2.0027,-1.5443,10,0
-82.5707,-51.3104,-2.0007,-1.5444,10,0
